web-scraper-order,web-scraper-start-url,link,link-href,name,runtime,releaseDate,coverImg,description,genre
"1753771498-33","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","The Bad Guys 2","https://www.imdb.com/title/tt30017619/?ref_=chtmvm_t_68","The Bad Guys 2","1h 44m","2025","https://m.media-amazon.com/images/M/MV5BY2YwODhmODctMjE2OS00Y2EyLWEyZTEtOGU3ODk5MGIzYmU1XkEyXkFqcGc@._V1_QL75_UX190_CR0,10,190,281_.jpg","The Bad Guys are struggling to find trust and acceptance in their newly minted lives as Good Guys, when they are pulled out of retirement and forced to do ""one last job"" by an all-female squad of criminals.","[{""genre"":""Animal Adventure""},{""genre"":""Car Action""},{""genre"":""Computer Animation""},{""genre"":""Heist""},{""genre"":""Action""},{""genre"":""Adventure""},{""genre"":""Animation""},{""genre"":""Comedy""},{""genre"":""Crime""},{""genre"":""Family""}]"
"1753771504-35","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Interstellar","https://www.imdb.com/title/tt0816692/?ref_=chtmvm_t_66","Interstellar","2h 49m","2014","https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","[{""genre"":""Adventure Epic""},{""genre"":""Epic""},{""genre"":""Psychological Drama""},{""genre"":""Quest""},{""genre"":""Sci-Fi Epic""},{""genre"":""Space Sci-Fi""},{""genre"":""Time Travel""},{""genre"":""Adventure""},{""genre"":""Drama""},{""genre"":""Sci-Fi""}]"
"1753771508-36","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Earth Girls Are Easy","https://www.imdb.com/title/tt0097257/?ref_=chtmvm_t_65","Earth Girls Are Easy","1h 40m","1988","https://m.media-amazon.com/images/M/MV5BYjJlOGZjNTMtYTM3Ni00Njg2LWEwYWMtN2NkZDYzM2UxMDdmXkEyXkFqcGc@._V1_QL75_UX190_CR0,6,190,281_.jpg","A young Southern California woman, who has just caught her fiancé cheating on her, befriends three humanoid aliens after their spaceship lands in her swimming pool.","[{""genre"":""Romantic Comedy""},{""genre"":""Comedy""},{""genre"":""Musical""},{""genre"":""Romance""},{""genre"":""Sci-Fi""}]"
"1753771512-37","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","The Accountant 2","https://www.imdb.com/title/tt7068946/?ref_=chtmvm_t_64","The Accountant 2","2h 12m","2025","https://m.media-amazon.com/images/M/MV5BYjFiY2I0NTEtNjdjNy00MTljLThkOWYtMzNiYjYyMDcxYjhkXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Christian Wolff applies his brilliant mind and illegal methods to reconstruct the unsolved puzzle of a Treasury chief's murder.","[{""genre"":""Whodunnit""},{""genre"":""Action""},{""genre"":""Crime""},{""genre"":""Drama""},{""genre"":""Mystery""},{""genre"":""Thriller""}]"
"1753771522-39","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Black Bag","https://www.imdb.com/title/tt30988739/?ref_=chtmvm_t_62","Black Bag","1h 33m","2025","https://m.media-amazon.com/images/M/MV5BNzA1OWU4NDMtMDUxMC00NWI4LWJhYjUtYWQ0OGQ5MTc2NDRjXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband - also a legendary agent - faces the ultimate test of whether to be loyal to his marriage, or his country.","[{""genre"":""Spy""},{""genre"":""Drama""},{""genre"":""Mystery""},{""genre"":""Romance""},{""genre"":""Thriller""}]"
"1753771525-40","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Jaws","https://www.imdb.com/title/tt0073195/?ref_=chtmvm_t_61","Jaws","2h 4m","1975","https://m.media-amazon.com/images/M/MV5BYjViNDQzNmUtYzkxZi00NTk5LTljMmItYjJlZmZkODIxNjU1XkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg","When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.","[{""genre"":""Monster Horror""},{""genre"":""Sea Adventure""},{""genre"":""Survival""},{""genre"":""Adventure""},{""genre"":""Horror""},{""genre"":""Thriller""}]"
"1753771529-41","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Mickey 17","https://www.imdb.com/title/tt12299608/?ref_=chtmvm_t_60","Mickey 17","2h 17m","2025","https://m.media-amazon.com/images/M/MV5BM2M2NDg3OWQtOTU2Yi00MGM0LWIwMzctMjRjNWQxNDBjMjRmXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","During a human expedition to colonize space, Mickey 17, a so-called ""expendable"" employee, is sent to explore an ice planet.","[{""genre"":""Alien Invasion""},{""genre"":""Dark Comedy""},{""genre"":""Space Sci-Fi""},{""genre"":""Adventure""},{""genre"":""Comedy""},{""genre"":""Fantasy""},{""genre"":""Sci-Fi""}]"
"1753771532-42","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Top Gun: Maverick","https://www.imdb.com/title/tt1745960/?ref_=chtmvm_t_59","Top Gun: Maverick","2h 10m","2022","https://m.media-amazon.com/images/M/MV5BMDBkZDNjMWEtOTdmMi00NmExLTg5MmMtNTFlYTJlNWY5YTdmXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.","[{""genre"":""Action Epic""},{""genre"":""Epic""},{""genre"":""Action""},{""genre"":""Drama""}]"
"1753771539-44","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Warfare","https://www.imdb.com/title/tt31434639/?ref_=chtmvm_t_57","Warfare","1h 35m","2025","https://m.media-amazon.com/images/M/MV5BYzEyYjE1NmEtOTFmNy00ZmQxLThlYzctOGRjNmQ0N2VjMmNmXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","A platoon of Navy SEALs embark on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.","[{""genre"":""Docudrama""},{""genre"":""Period Drama""},{""genre"":""War Epic""},{""genre"":""Action""},{""genre"":""Drama""},{""genre"":""War""}]"
"1753771543-45","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Fantastic 4: Rise of the Silver Surfer","https://www.imdb.com/title/tt0486576/?ref_=chtmvm_t_56","Fantastic 4: Rise of the Silver Surfer","1h 32m","2007","https://m.media-amazon.com/images/M/MV5BNmZmMTU0OGQtOWRmNS00ZjA1LWJkM2EtYmUwNGEzMjIyZDM1XkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg","The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.","[{""genre"":""Alien Invasion""},{""genre"":""Disaster""},{""genre"":""Globetrotting Adventure""},{""genre"":""Superhero""},{""genre"":""Action""},{""genre"":""Adventure""},{""genre"":""Fantasy""},{""genre"":""Sci-Fi""}]"
